timestamp,close,volume,volatility,avg_volume,trend,volatility_category,avg_volume_category
2023-12-05,0.1537,60774775.0,,,Stable,,
2023-12-06,0.1528,68886663.0,,,Downward,,
2023-12-07,0.1638,101510504.0,,,Upward,,
2023-12-08,0.1843,133061434.0,,,Upward,,
2023-12-09,0.1995,329560257.0,,,Upward,,
2023-12-10,0.2015,93586290.0,,,Upward,,
2023-12-11,0.2026,162322259.0,,135671740.2857143,Upward,,High
2023-12-12,0.1981,135039598.0,5.495284022212691,146281000.7142857,Downward,High,High
2023-12-13,0.2009,103763759.0,5.276072044898047,151263443.0,Upward,High,High
2023-12-14,0.2163,119588869.0,5.324464393759011,153846066.57142857,Upward,High,High
2023-12-15,0.1961,79394175.0,5.980317508008912,146179315.2857143,Downward,High,High
2023-12-16,0.1982,54962470.0,5.088433596530165,106951060.0,Upward,High,High
2023-12-17,0.1904,43352594.0,5.26857265053262,99774817.71428572,Downward,High,High
2023-12-18,0.1955,65133521.0,5.411388382435547,85890712.28571428,Upward,High,High
2023-12-19,0.1923,65246204.0,5.38270415691327,75920227.42857143,Downward,High,High
2023-12-20,0.1983,64026562.0,5.510261821155874,70243485.0,Upward,High,High
2023-12-21,0.2239,133953273.0,6.91271463735472,72295542.71428572,Upward,High,High
2023-12-22,0.2396,259685275.0,5.593627560285591,98051414.14285716,Upward,High,High
2023-12-23,0.2354,87441777.0,5.854321023078112,102691315.14285716,Downward,High,High
2023-12-24,0.2307,100677907.0,5.528868128849517,110880645.57142857,Downward,High,High
2023-12-25,0.2383,62735254.0,5.529565776688239,110538036.0,Upward,High,High
2023-12-26,0.235,83316576.0,5.495111339068028,113119517.71428572,Downward,High,High
2023-12-27,0.2288,54850428.0,5.895599935588891,111808641.42857143,Downward,High,High
2023-12-28,0.2339,79267238.0,3.598308706327117,103996350.71428572,Upward,Medium,High
2023-12-29,0.2267,90670321.0,2.489292336507671,79851357.28571428,Downward,Low,High
2023-12-30,0.2211,41056033.0,2.5509275575541697,73224822.42857143,Downward,Low,High
2023-12-31,0.2229,40402340.0,2.5640309015266727,64614027.14285714,Upward,Low,High
2024-01-01,0.2387,41149558.0,3.658039867259008,61530356.28571428,Upward,Medium,High
2024-01-02,0.2268,72793088.0,4.122043960829844,60027000.85714286,Downward,Medium,High
2024-01-03,0.2047,139477355.0,5.424494541410283,72116561.85714285,Downward,High,High
2024-01-04,0.2073,59201132.0,5.327358177407881,69249975.28571428,Upward,High,High
2024-01-05,0.1965,60260316.0,5.485415918820442,64905688.85714286,Downward,High,High
2024-01-06,0.1897,42459449.0,5.515533009694797,65106176.85714286,Downward,High,High
2024-01-07,0.1782,35362478.0,5.536355531151093,64386196.571428575,Downward,High,High
2024-01-08,0.1949,119233123.0,6.251783486537903,75540991.57142857,Upward,High,High
2024-01-09,0.1857,84764998.0,6.236343259907273,77251264.42857143,Downward,High,High
2024-01-10,0.1994,71780234.0,6.347203349621757,67580247.14285715,Upward,High,High
2024-01-11,0.2026,74828231.0,6.361409536900155,69812689.85714285,Upward,High,High
2024-01-12,0.1866,56331107.0,6.784232082907702,69251374.28571428,Downward,High,High
2024-01-13,0.1892,29958259.0,6.683393433425165,67465490.0,Upward,High,High
2024-01-14,0.1837,29015824.0,6.289175453322715,66558825.14285714,Downward,High,High
2024-01-15,0.1884,28680288.0,5.1256199588821705,53622705.85714286,Upward,High,Medium
2024-01-16,0.1959,52262515.0,4.9467443755397404,48979494.0,Upward,High,Medium
2024-01-17,0.1911,33111125.0,4.118226468995705,43455335.571428575,Downward,Medium,Medium
2024-01-18,0.179,37318382.0,4.506430790774481,38096785.71428572,Downward,High,Medium
2024-01-19,0.1732,56468909.0,3.705548019936283,38116471.71428572,Downward,Medium,Medium
2024-01-20,0.1721,32716566.0,3.5638411606309344,38510515.571428575,Downward,Medium,Medium
2024-01-21,0.1701,33995701.0,3.492134965492788,39221926.571428575,Downward,Medium,Medium
2024-01-22,0.1613,44220986.0,3.3853960262072915,41442026.28571428,Downward,Medium,Medium
2024-01-23,0.1601,59635736.0,2.23669154068594,42495343.571428575,Downward,Low,Medium
2024-01-24,0.1634,25619952.0,2.909597479677525,41425176.0,Upward,Low,Medium
2024-01-25,0.1611,26606632.0,2.2598445598683203,39894926.0,Downward,Low,Medium
2024-01-26,0.1665,52728708.0,2.725555854891733,39360611.571428575,Upward,Low,Medium
2024-01-27,0.1675,28314293.0,2.7574340865201887,38731715.42857143,Upward,Low,Medium
2024-01-28,0.1642,32487137.0,2.8132825268725563,38516206.28571428,Downward,Low,Medium
2024-01-29,0.1689,38669520.0,2.1301434112121416,37723139.71428572,Upward,Low,Medium
2024-01-30,0.1645,38136527.0,2.4321271246018146,34651824.14285714,Downward,Low,Low
2024-01-31,0.1592,36686274.0,2.645858703521668,36232727.28571428,Downward,Low,Medium
2024-02-01,0.1588,26427618.0,2.603963666085605,36207153.85714286,Downward,Low,Medium
2024-02-02,0.1609,38387146.0,2.2320868043775404,34158359.28571428,Upward,Low,Low
2024-02-03,0.1657,29930658.0,2.576898835006496,34389268.571428575,Upward,Low,Low
2024-02-04,0.1588,20487209.0,2.945662971111181,32674993.14285714,Downward,Low,Low
2024-02-05,0.16,19907294.0,2.6443322472364432,29994675.14285714,Upward,Low,Low
2024-02-06,0.1622,27312841.0,2.6040937302271536,28448434.285714287,Upward,Low,Low
2024-02-07,0.1681,31226565.0,2.555084327435393,27668475.85714286,Upward,Low,Low
2024-02-08,0.1689,32675460.0,2.5193572078756907,28561024.714285716,Upward,Low,Low
2024-02-09,0.1743,50245022.0,2.6656315260828864,30255007.0,Upward,Low,Low
2024-02-10,0.1754,35203866.0,2.5460125851353426,31008322.42857143,Upward,Low,Low
2024-02-11,0.1801,40983577.0,1.3222200886954674,33936375.0,Upward,Low,Low
2024-02-12,0.1829,81352107.0,1.2472140651654309,42714205.42857143,Upward,Low,Medium
2024-02-13,0.1777,67583606.0,2.210397282893999,48467171.85714286,Downward,Low,Medium
2024-02-14,0.1835,45039601.0,2.149156125330252,50440462.71428572,Upward,Low,Medium
2024-02-15,0.1873,56088670.0,2.1342064785127346,53785207.0,Upward,Low,Medium
2024-02-16,0.1942,68447058.0,2.2051770717362107,56385497.85714286,Upward,Low,Medium
2024-02-17,0.1904,32707774.0,2.5759862561676448,56028913.28571428,Downward,Low,Medium
2024-02-18,0.1964,32779945.0,2.6265794747611557,54856965.85714286,Upward,Low,Medium
2024-02-19,0.2036,57528679.0,2.780749991336432,51453619.0,Upward,Low,Medium
2024-02-20,0.1963,62229188.0,2.9841233080554046,50688702.14285714,Downward,Medium,Medium
2024-02-21,0.189,48139581.0,3.419974899395685,51131556.42857143,Downward,Medium,Medium
2024-02-22,0.1888,32272699.0,3.348692960610405,47729274.85714286,Downward,Medium,Medium
2024-02-23,0.1854,34442550.0,3.0120386960937777,42871488.0,Downward,Medium,Medium
2024-02-24,0.1972,42874390.0,3.906509086493729,44323861.71428572,Upward,Medium,Medium
2024-02-25,0.2078,89186614.0,4.228828748233175,52381957.28571428,Upward,Medium,Medium
2024-02-26,0.2121,65564655.0,4.09476064828263,53529953.85714286,Upward,Medium,Medium
2024-02-27,0.2083,69936861.0,3.832759548508908,54631050.0,Downward,Medium,Medium
2024-02-28,0.2106,121828491.0,3.250608968629613,65158037.14285714,Upward,Medium,High
2024-02-29,0.2118,106659484.0,3.2010967569497164,75784720.71428572,Upward,Medium,High
2024-03-01,0.2281,71120380.0,3.4717575926301545,81024410.71428572,Upward,Medium,High
2024-03-02,0.248,118500896.0,3.930824531745968,91828197.28571428,Upward,Medium,High
2024-03-03,0.2511,136688939.0,3.8930646495304777,98614243.71428572,Upward,Medium,High
2024-03-04,0.2506,149509283.0,4.055358356119326,110606333.42857143,Downward,Medium,High
2024-03-05,0.2314,210461881.0,5.452030357983349,130681336.28571428,Downward,High,High
2024-03-06,0.2592,125329674.0,6.691579586648001,131181505.28571428,Upward,High,High
2024-03-07,0.2799,199606470.0,6.792270415324751,144459646.14285713,Upward,High,High
2024-03-08,0.2713,105423532.0,7.096613453172824,149360096.42857143,Downward,High,High
2024-03-09,0.2692,73025808.0,6.651356458981439,142863655.2857143,Downward,High,High
2024-03-10,0.2628,70774127.0,6.801263868458118,133447253.57142857,Downward,High,High
2024-03-11,0.2918,210258284.0,7.770233072626732,142125682.2857143,Upward,High,High
2024-03-12,0.3178,202269950.0,6.614626305269303,140955406.42857143,Upward,High,High
2024-03-13,0.3187,157047646.0,5.938991685165955,145486545.2857143,Upward,High,High
2024-03-14,0.3118,131096846.0,5.796524162854295,135699456.14285713,Downward,High,High
2024-03-15,0.2992,144693570.0,5.938996090734719,141309461.57142857,Downward,High,High
2024-03-16,0.2673,117826760.0,7.543741873049657,147709597.57142857,Downward,High,High
2024-03-17,0.2754,100248030.0,7.51977661740456,151920155.14285713,Upward,High,High
2024-03-18,0.2516,107654323.0,6.743045895304231,137262446.42857143,Downward,High,High
2024-03-19,0.2303,159047188.0,5.098983917076112,131087766.14285716,Downward,High,High
2024-03-20,0.2506,84925580.0,7.046950397509252,120784613.85714284,Upward,High,High
2024-03-21,0.2487,66721331.0,7.099969909050011,111588111.71428572,Downward,High,High
2024-03-22,0.2412,56344771.0,7.084523127478562,98966854.71428572,Downward,High,High
2024-03-23,0.2484,40496925.0,6.410688303785393,87919735.42857143,Upward,High,High
2024-03-24,0.2562,47252860.0,6.421930322839803,80348996.85714285,Upward,High,High
2024-03-25,0.268,74668178.0,5.647938112289676,75636690.42857143,Upward,High,High
2024-03-26,0.2799,85279670.0,3.8450382216352463,65098473.571428575,Upward,Medium,High
2024-03-27,0.2708,88229756.0,3.426839948010889,65570498.71428572,Downward,Medium,High
2024-03-28,0.2728,54954899.0,3.332325271523065,63889579.85714286,Upward,Medium,High
2024-03-29,0.2687,80065896.0,3.035788888438752,67278312.0,Downward,Medium,High
2024-03-30,0.2602,41494748.0,3.429993308270864,67420858.14285715,Downward,Medium,High
2024-03-31,0.268,27143591.0,3.413598245858101,64548105.42857143,Upward,Medium,High
2024-04-01,0.2513,61982409.0,3.7819287567661495,62735852.71428572,Downward,Medium,High
2024-04-02,0.2343,63332415.0,3.531007645619048,59600530.571428575,Downward,Medium,Medium
2024-04-03,0.2321,46922280.0,3.5520838645646853,53699462.571428575,Downward,Medium,Medium
2024-04-04,0.2371,45887142.0,3.775480496974241,52404068.71428572,Upward,Medium,Medium
2024-04-05,0.2294,55120508.0,3.800755700367581,48840441.85714286,Downward,Medium,Medium
2024-04-06,0.2336,17724296.0,4.044281553438526,45444663.0,Upward,Medium,Medium
2024-04-07,0.2352,27018742.0,3.699462283071337,45426827.42857143,Upward,Medium,Medium
2024-04-08,0.2453,45995751.0,3.731161752377241,43143019.14285714,Upward,Medium,Medium
2024-04-09,0.2319,45995722.0,3.369092687620461,40666348.71428572,Downward,Medium,Medium
2024-04-10,0.2305,51546851.0,3.3575058800967046,41327001.71428572,Downward,Medium,Medium
2024-04-11,0.2277,32001093.0,3.227843575250525,39343280.42857143,Downward,Medium,Medium
2024-04-12,0.1936,135395992.0,6.378760685296125,50811206.71428572,Downward,High,Medium
2024-04-13,0.1679,223388685.0,7.277071811342896,80191833.71428572,Downward,High,High
2024-04-14,0.1794,105462787.0,8.29217540559209,91398125.85714284,Upward,High,High
2024-04-15,0.1703,85085730.0,7.5503790945825155,96982408.57142857,Downward,High,High
2024-04-16,0.1744,70563096.0,8.011016056077136,100492033.42857143,Upward,High,High
2024-04-17,0.1685,57186174.0,7.900214439209114,101297651.0,Downward,High,High
2024-04-18,0.1746,34186056.0,8.390149445695563,101609788.57142857,Upward,High,High
2024-04-19,0.1748,69121838.0,6.687221977325686,92142052.28571428,Upward,High,High
2024-04-20,0.1916,36456871.0,5.272294741932883,65437507.42857143,Upward,High,High
2024-04-21,0.1874,27242715.0,4.992359173055316,54263211.42857143,Downward,High,Medium
2024-04-22,0.1951,32523794.0,4.382902007552382,46754363.42857143,Upward,High,Medium
2024-04-23,0.1936,42788494.0,4.501453485839482,42786563.14285714,Downward,High,Medium
