timestamp,close,volume,volatility,avg_volume,trend,volatility_category,avg_volume_category
2023-12-05,5.907,11736819.83,,,Stable,,
2023-12-06,6.046,11202513.64,,,Upward,,
2023-12-07,6.242,8281399.33,,,Upward,,
2023-12-08,6.837,11355959.93,,,Upward,,
2023-12-09,7.101,16985044.2,,,Upward,,
2023-12-10,7.348,6780828.9,,,Upward,,
2023-12-11,6.709,12451395.17,,11256280.142857144,Downward,,High
2023-12-12,7.131,13610015.42,5.651222237146262,11523879.512857145,Upward,High,High
2023-12-13,7.603,11463964.93,5.814374743502476,11561229.697142856,Upward,High,High
2023-12-14,7.507,12681742.91,6.087365839837696,12189850.20857143,Downward,High,High
2023-12-15,6.951,10696904.91,6.341283069924561,12095699.49142857,Downward,High,High
2023-12-16,7.092,6517746.9,6.211630034486871,10600371.305714289,Upward,High,High
2023-12-17,6.784,6649743.84,6.2165992938219246,10581644.868571429,Downward,High,High
2023-12-18,6.885,7414872.74,5.217791125385906,9862141.664285716,Upward,High,High
2023-12-19,6.706,5474784.2,4.617515630922506,8699965.775714286,Downward,High,High
2023-12-20,6.951,8621839.76,3.9066089988301775,8293947.894285714,Upward,Medium,High
2023-12-21,8.42,27166695.07,9.30021824270622,10363226.774285715,Upward,High,High
2023-12-22,7.954,16078478.66,9.007171002071848,11132023.024285715,Downward,High,High
2023-12-23,8.326,12748793.29,9.051290145665948,12022172.50857143,Upward,High,High
2023-12-24,8.611,26401737.92,8.512747279736256,14843885.948571429,Upward,High,High
2023-12-25,9.191,19304116.18,8.51157910490825,16542349.297142858,Upward,High,High
2023-12-26,8.819,14922261.11,8.727623007767454,17891988.855714288,Downward,High,High
2023-12-27,8.694,9947554.08,8.995737053963364,18081376.61571429,Downward,High,High
2023-12-28,8.426,9422637.54,4.785398833454798,15546511.254285714,Downward,High,High
2023-12-29,8.291,11281188.12,4.208751973421993,14861184.034285711,Downward,High,High
2023-12-30,8.346,4747990.66,3.827977979695088,13718212.23,Upward,Medium,High
2023-12-31,8.202,6738987.99,3.5679792453630044,10909247.954285717,Downward,Medium,High
2024-01-01,8.595,5268802.23,2.913973543597793,8904203.104285713,Upward,Medium,High
2024-01-02,8.411,6792266.31,2.649739238097633,7742775.275714286,Downward,Medium,High
