timestamp,close,volume,volatility,avg_volume,trend,volatility_category,avg_volume_category
2023-12-05,1.803,27499333.11,,,Stable,,
2023-12-06,1.713,28677072.84,,,Downward,,
2023-12-07,2.172,85896983.04,,,Upward,,
2023-12-08,2.107,62303972.48,,,Downward,,
2023-12-09,2.044,50154683.51,,,Downward,,
2023-12-10,2.168,39880370.95,,,Upward,,
2023-12-11,2.292,101480814.96,,56556175.84142857,Upward,,High
2023-12-12,2.345,56199269.27,10.861042677187427,60656166.72142857,Upward,High,High
2023-12-13,2.247,53817534.09,10.749271415281743,64247661.18571429,Downward,High,High
2023-12-14,2.263,34127518.8,4.235645303301148,56852023.43714286,Upward,Medium,High
2023-12-15,2.096,23449413.82,5.1026801307619225,51301372.2,Downward,Medium,High
2023-12-16,2.18,26939944.53,5.096176515920744,47984980.91714285,Upward,Medium,High
2023-12-17,2.086,23070460.32,4.894807185600534,45583565.11285715,Downward,Medium,High
2023-12-18,2.237,42251711.64,5.235533374485113,37122264.63857143,Upward,Medium,High
2023-12-19,2.108,21624309.98,5.467399657168322,32182984.74,Downward,High,High
2023-12-20,2.247,22874087.23,6.035748145176076,27762492.33142857,Upward,High,High
2023-12-21,2.521,39183304.6,7.575682322424986,28484747.445714287,Upward,High,High
2023-12-22,3.462,112281640.4,14.358481761849347,41175065.52857144,Upward,High,High
2023-12-23,3.447,96148383.52,14.668484734668978,51061985.38428571,Downward,High,High
2023-12-24,3.566,85196572.64,13.895323858829656,59937144.28714286,Upward,High,High
2023-12-25,3.373,65537589.27,14.897267635754543,63263698.23428572,Downward,High,High
2023-12-26,3.468,53103386.66,14.012645390112247,67760709.18857142,Upward,High,High
2023-12-27,3.957,91120003.62,14.166627065934028,77510125.81571428,Upward,High,High
2023-12-28,3.58,56843106.81,15.685981375815878,80032954.70285715,Downward,High,High
2023-12-29,3.911,62473220.46,8.118198341310222,72917466.14,Upward,High,High
2023-12-30,3.602,30546536.35,8.94507115223086,63545773.687142864,Downward,High,High
2023-12-31,3.706,33769029.38,8.921434487538603,56198981.79285716,Upward,High,High
2024-01-01,3.99,37907079.82,8.74988980047401,52251766.15714286,Upward,High,High
2024-01-02,3.711,34456467.65,9.492346181429498,49587920.58428572,Downward,High,High
2024-01-03,3.475,79078027.69,7.93561403418352,47867638.30857142,Downward,High,High
2024-01-04,3.714,49438988.28,7.609326417015537,46809907.09,Upward,High,High
2024-01-05,3.444,37639918.46,7.087444298427255,43262292.51857143,Downward,High,High
2024-01-06,3.225,25966558.14,6.879340995941447,42608009.91714285,Downward,High,High
2024-01-07,3.171,23972585.05,6.620630229792318,41208517.87,Downward,High,High
